Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYes,AdditionalClass
Supper Club,,,,,,,,
,Starters,,,,,,,
,,,PRAWN COCKTAIL,,,,,
,,,SOUP OF THE DAY (v),,,,,
,,,BRUSCHETTA (v),,,,,
,,,"SOUTHERN-FRIED CHICKEN FILLETS
",,,,,
,Mains,,,,,,,
,,,"TOMATO AND MOZZARELLA SAUSAGES AND MASH (v)
",,,,,
,,,BANGERS & MASH,,,,,
,,,HUNTER’S CHICKEN,,,,,
,,,SCAMPI AND CHIPS,,,,,
,,,Baked Beef Lasagne,,,,,
,,,SAUSAGE BEAN POT,,,,,
,,,SOYA RAGU (ve),,,,,
,,,,,,,,
,Desserts,,,,,,,
,,,BAKEWELL TART (v) (ve) (gf),,,,,
,,,ULTIMATE BROWNIE FUDGE CAKE,,,,,
,,,"WINTER BERRY
MESS SUNDAE (v)",,,,,
,,,HOMEMADE CRUMBLE (v),,,,,
