Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYes,AdditionalClass
Main Menu,,,,,,,,
,,,"MEXICAN BEEF CHILLI
","Pulled beef chilli served with rice in a tortilla basket and a side of nachos, salsa, 6 sour cream and guacamole",,£9.45,,
,,,CHICKEN CAESAR SALAD CLUB,"Freshly ripped Cos lettuce with a drizzle of Caesar dressing. Topped with anchovy fillets, grilled chicken breast, crispy bacon and torn sourdough croutons",,£10.95,,sixclub
,,,"HALF ROAST CHICKEN
","Roast British chicken served with roast potatoes, green beans, braised red cabbage and a jug of gravy",,£10.95,,
,,,HUNTER’S CHICKEN,"With bacon, BBQ sauce, melted Cheddar and mozzarella. Served with chunky chips and salad",,£9.95,,
,,,BACON CHOPS & FRIED FREE-RANGE EGG,"Served with chunky chips, grilled tomato, beer-battered onion rings and garden peas",,£10.45,,sixclub
,,,ABERDEEN ANGUS LASAGNE,"Slow-cooked in red wine and tomato sauce, served with warm garlic sourdough bread",,£9.45,,
,,,CHICKEN TIKKA PLATTER,"Masala spiced curry with rice, poppadum, chutney, onion bhajis and naan bread",,£10.75,,
,,,BANGERS & MASH,,Why not choose tomato & mozzarella sausages as a vegetarian option (v),£11.95,,sixclub
,,,GARDEN RISOTTO (V),"With broad beans, asparagus and roast garlic. Served with garlic sourdough bread",,£8.95,,
,,,SCAMPI AND CHIPS,"Whitby wholetail scampi served with chunky chips, garden or mushy peas and tartare sauce",,£9.25,,
,,,FISH AND CHIPS,"Beer-battered line caught cod served with chunky chips, a charred lemon wedge and garden or mushy peas",,£11.95,,
,,"The 6 Club - A selection of great dishes for the smaller appetite for just £6. Available Monday-Friday until 6pm
",,,,,,sixclub
,Pies,"Succulent slow-cooked fillings in hand-crafted all butter shortcrust pastry, topped with a flaky puff pastry lid. Served with chunky chips, garden peas and gravy",,,,,,
,,,"STEAK & ALE PIE
",British steak and caramelised onions in rich ale gravy,,£10.95,,
,,,CHICKEN & HAM PIE,British chicken and ham hock in a creamy leek sauce,,£10.95,,
,From the Grill,"All served with chunky chips, grilled beef tomato, mushroom, beer-battered onion rings and garden peas",,,,,,
,,,8oz RUMP STEAK,,,£12.45,,
,,,8oz SIRLOIN STEAK,,,£14.95,,
,,,MIXED GRILL,"Rump steak, bacon chop, chicken breast, pork sausage, black pudding and fried free-range egg ",,£15.95,,
,,,,,"Fancy a sauce:
PEPPERCORN, BÉARNAISE, STILTON OR WHOLEGRAIN MUSTARD £1.95",,,
,,,,,Why not add: SAUTÉED GARLIC MUSHROOM AND ONIONS or SAUTÉED ATLANTIC PRAWNS £1.95,,,
,Burger Bar,"Succulent burgers served in a toasted bun, with lettuce, red onion and tomato served with chunky chips.",,,,,,
,,,Classic,6oz beef burger and BBQ sauce,,£9.95,,
,,,BLACK & BLUE,"6oz beef burger, field mushroom and Stilton",,£10.45,,
,,,PIRI PIRI CHICKEN BREAST,With piri piri mayo,,£9.75,,
,,,FALAFEL BURGER (v),With garlic mayo,,£9.75,,
,,,CHEESE & BACON BBQ,"6oz beef burger, bacon, Cheddar, Mozzarella, beer-battered onion rings and BBQ sauce",,£10.25,,
,,,THE BIG ONE,"Two 6oz beef burgers, bacon, fried free-range egg, beer-battered onion rings and BBQ sauce",,£12.45,,highlight
,,,"Build your own burger, add:","CHEDDAR, STILTON, FREE-RANGE EGG, BBQ SAUCE, PIRI PIRI SAUCE OR BACON",,75p each topping,Y,
,Kebabs,"Served on freshly made atbread with tabbouleh, seasonal salad, smoked houmous and tzatziki with a chilli, lime and coriander drizzle",,,,,,
,,,,,,,,
,,,SPINACH AND FALAFEL (v),,,10.25,,
,,,TANDOORI CHICKEN,,,£10.95,,
,,,LAMB KOFTA,,,£10.95,,
,Something a bit different,A selection of dishes to excite your palate,,,,,,
,,,LENTIL AND CHICK PEA DAHL (V) (VE),"A lightly spiced red lentil dahl curry with chickpeas, cauli ower and butternut squash served with rice and warm tortilla wraps",,£9.95,,
,,,"BAKED COD WITH TOMATO SALSA
","Freshly baked line caught cod llet on a bed of new potatoes, green beans and dried cherry tomatoes served with a tomato salsa and a garlic butter drizzle",,£12.45,,
,,,ROAST CHICKEN WITH AN ADDED TWIST,"Served with house slaw, corn and sweet potato fries with your choice of: 
SRIRACHA
GARLIC BUTTER
CAJUN",,£11.25,,
,Sides,Why not add some extras,,,,,,
,,,CHIPS (GF),,,£2.45,,
,,,ONION RINGS (v),,,£2.95,,
,,,"SWEET POTATO FRIES (GF)
",,,£3.45,,
,,,COLESLAW (v),,,£2.45,,
,,,GARLIC STICKS (v),,,£3.45,,
,,,BREAD,,,£1.45,,
,Light Bites,"Your choice of farmhouse, sourdough or flatbread. Served with chips. Available until 6pm",,,,,,
,,,CHICKEN & BACON SANDWICH,With lettuce and tomato,,£6.45,,
,,,BEER-BATTERED COD FISH FINGER SANDWICH,With tartare sauce,,£6.95,,
,,,STEAK & MUSHROOM SANDWICH,"With a pot of fiery English mustard
",,£7.95,,
,,,"MATURE CHEDDAR, MOZZARELLA & CHERRY TOMATO MELT (v)
",,,£5.95,,
,,,"CAMEMBERT, BACON & CRANBERRY MELT
",,,£5.75,,
,"Topped Pots
",Crushed new potatoes served with their own topping - Choose from:,,,,,,
,,,CAESAR,"Caesar sauce, rocket, anchovies and grated parmesan
",,£5.75,,
,,,BEEF CHILLI,"Pulled beef chilli, rocket, nachos and salsa topping",,£5.75,,
,,,TOMATO SALSA,"Tomato salsa, rocket, dried cherry tomatoes
",Why not add Chicken £1.50,£5.25,,
