Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYes,AdditionalClass
Supper Club,,,,,,,,
,,Get two courses for <strong>£10.25</strong> or three courses for <strong>£13.45</strong>. Choose from the dishes below. Served Monday - Friday from 6pm,,,,,,
,Starters,,,,,,,
,,,PRAWN COCKTAIL,,,,,
,,,SOUP OF THE DAY (v),,,,,
,,,DOUGH STICKS (v),,,,,
,,,"SOUTHERN-FRIED CHICKEN FILLETS
",,,,,
,Mains,,,,,,,
,,,"TOMATO AND MOZZARELLA SAUSAGES AND MASH (v)
",,,,,
,,,BANGERS & MASH,,,,,
,,,HUNTER’S CHICKEN,,,,,
,,,SCAMPI AND CHIPS,,,,,
,,,ABERDEEN ANGUS LASAGNE,,,,,
,,,LENTIL & CHICKPEA DAHL (v),,,,,
,,,CHICKEN CAESAR SALAD,,,,,
,,,CLASSIC BURGER,,,,,
,Desserts,,,,,,,
,,,BAKEWELL TART (v) (ve) (gf),,,,,
,,,ULTIMATE BROWNIE FUDGE CAKE,,,,,
,,,MIXED BERRY ETON MESS SUNDAE (v) (gf),,,,,
,,,BRAEBURN APPLE & BLACKBERRY CRUMBLE (v),,,,,
,,,,,,,,
,,,,,,,,
