Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYes,AdditionalClass
Sweets & Desserts,,,,,,,,
,,,STICKY TOFFEE PUDDING (v),"Date & black treacle sponge, West Country butter toffee sauce and vanilla custard",,£5.25,,
,,,MIXED BERRY ETON MESS SUNDAE (v) (gf),"Berry compôte, Jude’s strawberry ice cream, whipped cream, soft meringue and strawberry sauce",,£5.25,,
,,,CHOCOLATE & SALTED CARAMEL ICE CREAM SUNDAE (v),"Jude’s vanilla, salted caramel and chocolate ice creams topped with whipped cream and chocolate sauce",,£5.25,,
,,,BAKEWELL TART (v) (ve) (gf),Traditional tart with coconut ice cream,,£5.25,,
,,,ULTIMATE BROWNIE FUDGE CAKE (v),"Layers of chocolate brownie, salted caramel and chocolate fudge coated in chocolate fudge icing, topped with brownie bits and salted caramel sauce. Served with Jude’s vanilla ice cream",,£5.25,,
,,,BRAEBURN APPLE & BLACKBERRY CRUMBLE(v),Served with vanilla custard,,£5.25,,
,,,BRANDY SNAP BASKET,"Filled with Jude’s strawberry tease ice cream, fresh strawberries topped with whipped cream and a drizzle of strawberry sauce",,£5.25,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
