Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYes,AdditionalClass
Main Menu,,,,,,,,
,OUR FAVOURITES,,,,,,,
,,,HUNTERS CHICKEN,"Chicken breast topped with bacon, melted Cheddar, mozzarella and BBQ sauce. Served with chunky chips and salad",,£8.45,,
,,,BAKED BEEF LASAGNE,"Minced beef slow cooked in a red wine and tomato sauce, topped with mature Cheddar cheese and a pesto drizzle.Served with salad and garlic ciabatta",,£8.75,,
,,,STEAK AND ALE PIE,"Steak in a rich ale gravy served with chunky chips, garden peas and gravy",,£10.45,,
,,,COD AND CHIPS,"Hand battered line caught cod served with chunky chips, a charred lemon wedge, garden or mushy peas and tartare sauce",,£9.95,,
,,,SEASONAL SALAD,"A fresh and crunchy seasonal salad base with a Mediterranean tabbouleh. Topped with your choice of prawns, chicken or garlic chicken",,"Prawns £10.95
Chicken £9.45
Garlic Chicken £9.95",,
,,,BACON CHOPS AND FREE-RANGE FRIED EGG,"Served with chunky chips, grilled tomato, beer battered onion rings and garden peas",,£9.45,,
,,,8oz SIRLOIN STEAK,"Seasoned and grilled sirloin steak with chunky chips, a grilled tomato, beer battered onion rings and garden peas",,£12.95,,
,,,CAMBODIAN STREET FOOD CURRY (VE),"Thai style curry with lemongrass, kaffir lime and coconut. Served with cauliflower and parsley rice and a tomato, rocket and onion salad",Add prawns £3. Add chicken £2,£10.95,,spanthegrid
,BURGER BAR,"Succulent burgers served in a toasted ciabatta bun, with lettuce, red onion and tomato served with chunky chips",,,,,,
,,,SOUTHERN FRIED CHICKEN BURGER,"Hand coated chicken breast in a southern fried crumb, with a cajun drizzle. Served in a toasted bun with lettuce, red onion and tomato. Served with chunky chips and coleslaw","Add a topping to your burger for £1. Choose from cheddar, stilton, bacon, free-range egg and onion rings. Add a beef patty or chicken fillet for an extra £2.",£10.95,,
,,,CHEESE AND BACON BBQ BURGER,"Our mouth watering 6oz beef burger with bacon, Cheddar, mozzarella and BBQ sauce, in a toasted bun with lettuce, red onion and tomato. Served with chunky chips and coleslaw","Add a topping to your burger for £1. Choose from cheddar, stilton, bacon, free-range egg and onion rings. Add a beef patty or chicken fillet for an extra £2.",£9.95,,
,,,,,,,,
,FLATBREADS,Served on a freshly made flatbread with tabbouleh and seasonal salad,,,,,,
,,,TANOORI CHICKEN AND SPICED KETCHUP,,,£9.25,,
,,,"BEETROOT, CARROT, HORSERADISH AND SUNFLOWER SEED MIX (V)",,,£8.75,,
,,,,,,,,
,SIDES,,,,,,,
,,,BEER BATTERED ONION RINGS (V),,,£2.95,,
,,,SEASONAL SALAD (V),,,£2.95,,
,,,CHUNKY CHIPS (V),,,£1.95,,
,,,SWEET POTATO FRIES (V),,,£2.95,,
,,,COLESLAW (V),,,£1.95,,
,,,GARLIC FLATBREAD (V),,,£2.95,,
,,,SOUTHERN FRIED ONIONS (V),,,£1.95,,
Six Club,,SMALLER DISHES FOR SMALLER APPETITES - Choose from 6 classic dishes for £6 each. Served daily until 6pm,,,,,,
,,,BANGERS AND MASH,"Butcher's pork sausage with spring onion mash, garden peas and gravy",,,,
,,,WHITBY SCAMPI AND CHIPS,"Whitby wholetail scampi served with chunky chips, a charred lemon wedge and garden or mushy peas and tartare sauce",,,,
,,,GARLIC CHICKEN SALAD,A fresh and crunchy salad base with a Mediterranean tabbouleh topped with crispy garlic chicken,,,,
,,,BACON CHOP AND FREE-RANGE FRIED EGG,"Served with chunky chips, grilled tomato and garden peas",,,,
,,,BAKED BEEF LASAGNE,"Minced beef slow cooked in a red wine and tomato sauce, topped with mature Cheddar cheese and a pesto drizzle. Served with salad and garlic ciabatta",,,,
,,,BEETROOT AND HORSERADISH FLATBREAD (V),"Freshly made flatbread topped with tabbouleh, seasonal salad and a beetroot, carrot, horseradish and sunflower seed mix",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
