Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYes,AdditionalClass
Kids Menu,,,,,,,,
,,Get two courses for £4.95 | Individually: Starters £1.75 | Mains £3.95 | Desserts £1.75,,,,,,
,Starters,,,,,,,
,,,"DOUGH STICKS (v)
",Dough sticks served with melted garlic butter,,,,
,,,"VEGGIE DIPPERS
","Freshly cut vegetable sticks served with a smoky humous to dip
",,,,
,,,"CORN ON THE COB (v)
","Corn cobettes with a knob of butter
",,,,
,,All kids starters £1.75 each,,,,,,spanthegrid
,Mains,,,,,,,
,,,PICKIN’ CHICKEN,"Battered whole chicken breast pieces and fries, served with a BBQ dip",,,,
,,,4OZ BEEF BURGER,"A beef burger in a soft bun with Cheddar cheese, fries and BBQ dip",,,,
,,,FISH FINGERS,Strips of cod fillet in freshly made batter served with peas and fries,,,,
,,,Margherita (v) or Pepperoni Pizza TWIST,"Twisted Pizza dough filled with tomato and mozzarella or tomato, mozzarella and pepperoni",,,,
,,,SPAGHETTI BOLOGNAISE,A traditional Italian dish served with garlic dough sticks,,,,
,,,CHICKEN WRAPS,Grilled chicken breast served with a floured tortilla with a selection of goodies to make your own wraps,,,,
,,All kids mains £3.95 each,,,,,,spanthegrid
,Desserts,,,,,,,
,,,DOUGHNUT STICKS,Served with chocolate dipping sauce,,,,
,,,"VANILLA ICE CREAM SUNDAE
",Served with a wafer and choice of strawberry or chocolate sauce,,,,
,,,CHOCOLATE BROWNIE (gf),Served with vanilla ice cream,,,,spanthegrid
,,All kids desserts £1.75 each,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
