Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYes,AdditionalClass
Main Menu,,,,,,,,
,,,HUNTERS CHICKEN,"Chicken breast topped with bacon, melted Cheddar, mozzarella and BBQ sauce. Served with chunky chips and salad",,£8.75,,
,,,BAKED BEEF LASAGNE,"Minced beef slow cooked in a red wine and tomato sauce, topped with mature Cheddar cheese and a pesto drizzle.Served with salad and garlic ciabatta",,£8.45,,
,,,STEAK AND ALE PIE,"Steak in a rich ale gravy served with chunky chips, garden peas and gravy",,£9.25,,
,,,COD AND CHIPS,"Hand battered line caught cod served with chunky chips, a charred lemon wedge, garden or mushy peas and tartare sauce",,£9.45,,
,,,SEASONAL SALAD,"A fresh and crunchy seasonal salad base with a Mediterranean tabbouleh. Topped with your choice of prawns, chicken or garlic chicken",,"Prawns £9.95
Chicken £8.95
Garlic Chicken £9.25",,
,,,BANGERS AND MASH,"Butcher's pork sausages with spring onion mash, garden peas and gravy",,£7.45,,
,,,SCAMPI AND CHIPS,"Whitby� wholetail scampi served with chunky chips, a charred lemon wedge, garden or mushy peas and tartare sauce",,�8.45,,
,,,CHICKEN TIKKA,"Masala spiced chicken in a rich tomato and chilli sauce. Served with rice, poppadom and chutney",,£8.95,,
,,,CHICKEN AND HAM PIE,"Chicken and ham hock in a creamy leek sauce served with chunky chips, garden peas and gravy",,£9.25,,
,,,GARLIC CHICKEN,"Tender chicken breast coated in a garlic and herb crust, topped with melted smoky garlic butter. Served with new potatoes and salad.",,�9.45,,
,THE GRILL,,,,,,,
,,,BACON CHOPS AND FREE-RANGE FRIED EGG,"Served with chunky chips, grilled tomato, beer battered onion rings and garden peas",,£8.95,,
,,,8oz SIRLOIN STEAK,"Seasoned and grilled sirloin steak with chunky chips, a grilled tomato, beer battered onion rings and garden peas","Add peppercorn, bearnaise, stilton or wholegrain mustard sauce to your steak for £1.95 extra",£12.95,,
,,,8oz RUMP STEAK,"Seasoned and grilled rump steak with chunky chips, a grilled tomato, beer battered onion rings and garden peas","Top your steak:
Sauteed garlic mushrooms and onions £1.95
Sauteed atlantic prawns £2.25
Smoked salted and garlic butter £1.50",�10.25,,
,,,MIXED GRILL,"8oz rump steak, bacon chop, chicken breast, pork sausage, black pudding and free-range fried egg",,£14.25,Y,spanthegrid
,BURGER BAR,"Succulent burgers served in a toasted ciabatta bun, with lettuce, red onion and tomato served with chunky chips",,,,,,
,,,SOUTHERN FRIED CHICKEN BURGER,"Hand coated chicken breast in a southern fried crumb, with a cajun drizzle. Served in a toasted bun with lettuce, red onion and tomato. Served with chunky chips and coleslaw","Add a topping to your burger for £1. Choose from cheddar, stilton, bacon, free-range egg and onion rings. Add a beef patty or chicken fillet for an extra £2.",£9.95,,
,,,CHEESE AND BACON BBQ BURGER,"Our mouth watering 6oz beef burger with bacon, Cheddar, mozzarella and BBQ sauce, in a toasted bun with lettuce, red onion and tomato. Served with chunky chips and coleslaw","Add a topping to your burger for £1. Choose from cheddar, stilton, bacon, free-range egg and onion rings. Add a beef patty or chicken fillet for an extra £2.",£9.45,,
,,,BBQ PULLED PORK,"6oz beef burger with a topping of BBQ pulled pork, bacon ,melted cheese and coleslaw",,£10.45,,
,,,BEETROOT AND HORSERADISH (V),"A beetroot, carrot, horseradish and sunflower seed patty, grilled and served with a sweet chilli sauce",,£8.95,,
,SHARERS,,,,,,,
,,,SIGNATURE PLATTER,"Halloumi sticks, Whitby scampi, torn garlic flatbread, southern fried chicken strips, nachos, southern fried onions with BBQ sauce and garlic mayonnaise",,£12.45,,
,,,CHEESY NACHOS (V),"Freshly fried nachos topped with melted cheese, salsa, sour cream and guacamole",Add a topping of BBQ pulled pork for £1.50,£5.95,,
,FLATBREADS,Served on a freshly made flatbread with tabbouleh and seasonal salad,,,,,,
,,,TANOORI CHICKEN AND SPICED KETCHUP,,,£8.95,,
,,,PAPRIKA CHICKEN AND BBQ SAUCE,,,£8.95,,
,,,LAMB SHAWARMA,,,£9.45,,
,,,"BEETROOT, CARROT, HORSERADISH AND SUNFLOWER SEED MIX (V)",,,£8.45,,
,A LITTLE BIT DIFFERENT,,,,,,,
,,,CAMBODIAN STREET FOOD CURRY (VE),"Thai style curry with lemongrass, kaffir lime and coconut. Served with cauliflower and parsley rice and a tomato, rocket and onion salad",Add prawns £3. Add chicken £2,�9.95,Y,spanthegrid
,,,JACK FRUIT BALTI (VE),"Shredded jack fruit with red and yellow peppers in a spiced tomato sauce. Served with cauliflower and parsley rice, a poppadom and a rich omtato and onion pickle",,£9.95,,
,,,SEA BASS,Gently grilled and served on a base of pesto risotto with sundried tomatoes and rocket,,£13.95,,
,,,SOUTHERN FRIED CHICKEN PLATTER,"Tender chicken breast, hand coated in a crispy southern fried crumb served with BBQ beans, southern fried onions, chicken gravy and chunky chips",,£10.45,,
,,,PEA AND ASPARAGUS GIRASOLE PASTA (V),"Pasta filled with asparagus tips, peas and ricotta cheese. Served with a drizzle of smoked salt and garlic butter",,£9.95,,
,JACKET POTATOES,Choose from the following fillings,,,,,,
,,,MOZZARELLA AND CHEDDAR CHEESE (V),,,£5.25,,
,,,PRAWN AND CAJUN SEAFOOD SAUCE,,,£6.45,,
,,,BBQ BEANS (V) ,,,£5.45,,
,SANDWICHES,"Your choice of farmhouse, ciabatta or wrap. Served with chunky chips",,,,,,
,,,CHICKEN AND BACON,"With mayonnaise, lettuce and tomato",,£5.95,,
,,,HAND BATTERED COD FISH FINGERS,With tartare sauce,,£5.95,,
,,,"MATURE CHEDDAR, MOZZARELLA AND CHERRY TOMATO MELT (V)",,,£5.25,,
,,,PRAWN AND CAJUN SEAFOOD SAUCE,,,£6.25,,
,SIDES,,,,,,,
