Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYes,AdditionalClass
Main Menu,,,,,,,,
,MAINS,"EVERYDAY OUR CHEFS CREATE SPECIALS FOR YOU TO ENJOY, FOR DETAILS ON TODAY'S SPECIALS PLEASE CALL US",,,,,,
,,,HUNTERS CHICKEN,"Chicken breast topped with bacon, melted Cheddar, mozzarella and BBQ sauce. Served with chunky chips and salad",,£9.95,,
,,,BAKED BEEF LASAGNE,"Minced beef slow cooked in a red wine and tomato sauce, topped with mature Cheddar cheese and a pesto drizzle.Served with salad and garlic ciabatta",,£9.45,,
,,,CAMBODIAN STREET FOOD CURRY (VE),"Thai style curry with lemongrass, kaffir lime and coconut. Served with cauliflower and parsley rice and a tomato, rocket and onion salad",Add prawns £3. Add chicken £2,£10.95,Y,
,,,STEAK AND ALE PIE,"Steak in a rich ale gravy served with chunky chips, garden peas and gravy",,£10.45,,
,,,COD AND CHIPS,"Hand battered line caught cod served with chunky chips, a charred lemon wedge, garden or mushy peas and tartare sauce",,£11.25,,
,,,SEASONAL SALAD,"A fresh and crunchy seasonal salad base with a Mediterranean tabbouleh. Topped with your choice of prawns, chicken or garlic chicken",,"Prawns £10.95
Chicken £9.95
Garlic Chicken £10.25",,
,,,BACON CHOPS AND FREE-RANGE FRIED EGG,"Served with chunky chips, grilled tomato, beer battered onion rings and garden peas",,£10.45,,
,,,8oz SIRLOIN STEAK,"Seasoned and grilled sirloin steak with chunky chips, a grilled tomato, beer battered onion rings and garden peas",Add peppercorn or bearnaise sauce for £1.95 extra,£14.95,,
,,,SOUTHERN FRIED CHICKEN BURGER,"Hand coated chicken breast in a southern fried crumb, with a cajun drizzle. Served in a toasted bun with lettuce, red onion and tomato. Served with chunky chips and coleslaw","Add a topping to your burger for £1. Choose from: cheddar, stilton, bacon, free-range egg and onion rings. Add a beef patty or chicken fillet for an extra £2.",£11.45,,
,,,CHEESE AND BACON BBQ BURGER,"Our mouth watering 6oz beef burger with bacon, Cheddar, mozzarella and BBQ sauce, in a toasted bun with lettuce, red onion and tomato. Served with chunky chips and coleslaw","Add a topping to your burger for £1. Choose from cheddar, stilton, bacon, free-range egg and onion rings. Add a beef patty or chicken fillet for an extra £2.",£10.45,,
,FLATBREADS,Middle Eastern inspired flat bread with tabbouleh and seasonal salad,,,,,,
,,,TANDOORI CHICKEN AND SPICED KETCHUP,,,£10.95,,
,,,"BEETROOT, CARROT, HORSERADISH AND SUNFLOWER SEED MIX (V)",,,£10.25,,
,SIDES,,,,,,,
,,,BEER BATTERED ONION RINGS (V),,,£2.95,,
,,,SEASONAL SALAD (V),,,£3.25,,
,,,CHUNKY CHIPS (V),,,£2.45,,
,,,SWEET POTATO FRIES (V),,,£3.45,,
,,,COLESLAW (V),,,£2.45,,
,,,GARLIC FLATBREAD (V),,,£2.95,,
,,,SOUTHERN FRIED ONIONS (V),,,£1.95,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
