Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYes,AdditionalClass
Main Menu,,,,,,,,
,,,HUNTERS CHICKEN,"Chicken breast topped with bacon, melted Cheddar, mozzarella and BBQ sauce. Served with chunky chips and salad",,,,
,,,BAKED BEEF LASAGNE,"Minced beef slow cooked in a red wine and tomato sauce, topped with mature Cheddar cheese and a pesto drizzle.Served with salad and garlic ciabatta",,,,
,,,STEAK AND ALE PIE,"Steak in a rich ale gravy served with chunky chips, garden peas and gravy",,,,
,,,COD AND CHIPS,"Hand battered line caught cod served with chunky chips, a charred lemon wedge, garden or mushy peas and tartare sauce",,,,
,,,SEASONAL SALAD,"A fresh and crunchy seasonal salad base with a Mediterranean tabbouleh. Topped with your choice of prawns, chicken or garlic chicken",,"Prawns, 
Chicken or
Garlic Chicken",,
,,,BANGERS AND MASH,"Butcher's pork sausages with spring onion mash, garden peas and gravy",,,,
,,,CHICKEN TIKKA,"Masala spiced chicken in a rich tomato and chilli sauce. Served with rice, poppadom and chutney",,,,
,,,CHICKEN AND HAM PIE,"Chicken and ham hock in a creamy leek sauce served with chunky chips, garden peas and gravy",,,,
,,,GARLIC CHICKEN,"Tender chicken breast coated in a garlic and herb crust, topped with melted smoky garlic butter. Served with new potatoes and salad.",,,,
,THE GRILL,,,,,,,
,,,BACON CHOPS AND FREE-RANGE FRIED EGG,"Served with chunky chips, grilled tomato, beer battered onion rings and garden peas",,,,
,,,8oz SIRLOIN STEAK,"Seasoned and grilled sirloin steak with chunky chips, a grilled tomato, beer battered onion rings and garden peas","Add peppercorn, bearnaise, stilton or wholegrain mustard sauce to your steak for £1.95 extra",,,
,,,8oz RUMP STEAK,"Seasoned and grilled rump steak with chunky chips, a grilled tomato, beer battered onion rings and garden peas","Top your steak:
Sauteed garlic mushrooms and onions.
Sauteed atlantic prawns.
Smoked salted and garlic butter.",,,
,,,MIXED GRILL,"8oz rump steak, bacon chop, chicken breast, pork sausage, black pudding and free-range fried egg",,,Y,spanthegrid
,BURGER BAR,"Succulent burgers served in a toasted ciabatta bun, with lettuce, red onion and tomato served with chunky chips",,,,,,
,,,SOUTHERN FRIED CHICKEN BURGER,"Hand coated chicken breast in a southern fried crumb, with a cajun drizzle. Served in a toasted bun with lettuce, red onion and tomato. Served with chunky chips and coleslaw","Add a topping to your burger. Choose from cheddar, stilton, bacon, free-range egg and onion rings. Add a beef patty or chicken fillet.",,,
,,,CHEESE AND BACON BBQ BURGER,"Our mouth watering 6oz beef burger with bacon, Cheddar, mozzarella and BBQ sauce, in a toasted bun with lettuce, red onion and tomato. Served with chunky chips and coleslaw","Add a topping to your burger. Choose from cheddar, stilton, bacon, free-range egg and onion rings. Add a beef patty or chicken fillet",,,
,,,BBQ PULLED PORK,"6oz beef burger with a topping of BBQ pulled pork, bacon ,melted cheese and coleslaw",,,,
,,,BEETROOT AND HORSERADISH (V),"A beetroot, carrot, horseradish and sunflower seed patty, grilled and served with a sweet chilli sauce",,,,
,SHARERS,,,,,,,
,,,SIGNATURE PLATTER,"Halloumi sticks, Whitby scampi, torn garlic flatbread, southern fried chicken strips, nachos, southern fried onions with BBQ sauce and garlic mayonnaise",Add a topping of BBQ pulled pork,,,
,,,CHEESY NACHOS (V),"Freshly fried nachos topped with melted cheese, salsa, sour cream and guacamole",,,,
,FLATBREADS,Served on a freshly made flatbread with tabbouleh and seasonal salad,,,,,,
,,,TANOORI CHICKEN AND SPICED KETCHUP,,,,,
,,,PAPRIKA CHICKEN AND BBQ SAUCE,,,,,
,,,LAMB SHAWARMA,,,,,
,,,"BEETROOT, CARROT, HORSERADISH AND SUNFLOWER SEED MIX (V)",,,,,
,A LITTLE BIT DIFFERENT,,,,,,,
,,,CAMBODIAN STREET FOOD CURRY (VE),"Thai style curry with lemongrass, kaffir lime and coconut. Served with cauliflower and parsley rice and a tomato, rocket and onion salad",Add prawns. Add chicken.,,Y,spanthegrid
,,,JACK FRUIT BALTI (VE),"Shredded jack fruit with red and yellow peppers in a spiced tomato sauce. Served with cauliflower and parsley rice, a poppadom and a rich omtato and onion pickle",,,,
,,,SEA BASS,Gently grilled and served on a base of pesto risotto with sundried tomatoes and rocket,,,,
,,,SOUTHERN FRIED CHICKEN PLATTER,"Tender chicken breast, hand coated in a crispy southern fried crumb served with BBQ beans, southern fried onions, chicken gravy and chunky chips",,,,
,,,PEA AND ASPARAGUS GIRASOLE PASTA (V),"Pasta filled with asparagus tips, peas and ricotta cheese. Served with a drizzle of smoked salt and garlic butter",,,,
,JACKET POTATOES,Choose from the following fillings,,,,,,
,,,MOZZARELLA AND CHEDDAR CHEESE (V),,,,,
,,,PRAWN AND CAJUN SEAFOOD SAUCE,,,,,
,,,BBQ BEANS (V) ,,,,,
,SANDWICHES,"Your choice of farmhouse, ciabatta or wrap. Served with chunky chips",,,,,,
,,,CHICKEN AND BACON,"With mayonnaise, lettuce and tomato",,,,
,,,HAND BATTERED COD FISH FINGERS,With tartare sauce,,,,
,,,"MATURE CHEDDAR, MOZZARELLA AND CHERRY TOMATO MELT (V)",,,,,
,,,PRAWN AND CAJUN SEAFOOD SAUCE,,,,,
,SIDES,,,,,,,
,,,BEER BATTERED ONION RINGS (V),,,,,
,,,SEASONAL SALAD (V),,,,,
,,,CHUNKY CHIPS (V),,,,,
,,,SWEET POTATO FRIES (V),,,,,
,,,COLESLAW (V),,,,,
,,,GARLIC FLATBREAD (V),,,,,
,,,SOUTHERN FRIED ONIONS (V),,,,,
,,,NAAN BREAD (V),,,,,
Six Club,SMALLER DISHES FOR SMALLER APPETITES,Choose from 6 classic dishes for £6 each. Served daily until 6pm,,,,,,
,,,,,,,,
,,,BANGERS AND MASH,"Butcher's pork sausage with spring onion mash, garden peas and gravy",,,,
,,,WHITBY SCAMPI AND CHIPS,"Whitby wholetail scampi served with chunky chips, a charred lemon wedge and garden or mushy peas and tartare sauce",,,,
,,,GARLIC CHICKEN SALAD,A fresh and crunchy salad base with a Mediterranean tabbouleh topped with crispy garlic chicken,,,,
,,,BACON CHOP AND FREE-RANGE FRIED EGG,"Served with chunky chips, grilled tomato and garden peas",,,,
,,,BAKED BEEF LASAGNE,"Minced beef slow cooked in a red wine and tomato sauce, topped with mature Cheddar cheese and a pesto drizzle. Served with salad and garlic ciabatta",,,,
,,,BEETROOT AND HORSERADISH FLATBREAD (V),"Freshly made flatbread topped with tabbouleh, seasonal salad and a beetroot, carrot, horseradish and sunflower seed mix",,,,
