Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYes,AdditionalClass
Supper Club,,"Served Monday to Friday, 6pm onwards",,,,,,
,Starters,,,,,,,
,,,SOUP OF THE DAY (V),Warming soup with a freshly baked ciabatta roll,,,,
,,,PRAWN COCKTAIL,Atlantic prawns in a rich seafood sauce served on a cos lettuce salad with farmhouse bread and butter,,,,
,,,HAND COATED SOUTHERN FRIED CHICKEN,"Tender chicken breast strips, hand coated in a crispy southern fried crumb with delicious chicken gravy",,,,
,,,HALLOUMI STICKS (V),Halloumi sticks in a crispy crumb served with a sweet chilli dip,,,,
,,,,,,,,
,,,BANGERS AND MASH,"Butcher's pork sausages with spring onion mash, garden peas and gravy",,,,
,Mains,,HUNTERS CHICKEN,"Chicken breast topped with bacon, melted Cheddar, mozzarella and BBQ sauce. Served with chunky chips and salad",,,,
,,,BAKED BEEF LASAGNE,"Minced beef slow cooked in a red wine and tomato sauce, topped with mature Cheddar cheese and a pesto drizzle.Served with salad and garlic ciabatta",,,,
,,,CAMBODIAN STREET FOOD CURRY (VE),"Thai style curry with lemongrass, kaffir lime and coconut. Served with cauliflower and parsley rice and a tomato, rocket and onion salad",,,,
,,,SEASONAL CHICKEN SALAD,A fresh and crunchy seasonal salad base with a Mediterranean tabbouleh. Topped with chicken breast,,,,
,,,BACON CHOPS AND FREE-RANGE FRIED EGG,"Served with chunky chips, grilled tomato, beer battered onion rings and garden peas",,,,
,,,,,,,,
,,,HOMEMADE CRUMBLE (V),"Apple and mixed fruit with a buttery flapjack topping, served with creamy custard",,,,
,Desserts,,STICKY TOFFEE PUDDING (V),"Deliciously sweet, date and black treacle sponge with West Country butter toffee sauce and creamy custard",,,,
,,,KNICKERBOCKER GLORY (V),"A retro classic of mixed fruit and ice cream served with whipped cream, a drizzle of raspberry and chocolate sauce topped with a flake",,,,
,,,CHOCOLATE TORTE AND RASPBERRY SOBERT (V),A rich velvety ganache on an almond sponge base served with a raspberry sorbet,,,,
