Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYes,AdditionalClass
Starters,,,,,,,,
,,,BRUSCHETTA (v),"Toasted ciabatta with a topping of chopped tomato,
red onion and a drizzle of basil oil",,,,
,,,SOUP OF THE DAY (v),"Ask the team for today's choice, served with warm sourdough bread",,,,
,,,YORKIE PUD AND PIGS,"A traditional Yorkshire pudding with a centre of three
pigs in blankets and a drizzle of freshly made thick gravy",,,Y,
,,,PRAWN COCKTAIL,"With rich seafood sauce, cos lettuce and a mixed salad salsa, farmhouse bread and butter",,,,
,,,CALAMARI,Dusted in paprika with a lemon wedge and served with garlic mayo,,,,
,,,STILTON & GARLIC MUSHROOMS (v),"In a rich garlic, cream & Stilton sauce, served on a sourdough crouton",,,,
,,,HALLOUMI STICKS (v),"Halloumi cheese sticks in a crispy crumb
with a sweet chilli dip",,,,
,,,SOUTHERN-FRIED CHICKEN FILLETS,With house slaw and Bourbon and Cajun dip,,,,
Sharers,,,,,,,,
,,,SIGNATURE PLATTER,"Halloumi sticks, scampi, bruschetta, southern-fried chicken,
nachos, beer-battered onion rings and dips",,,Y,
,,,CHEESY NACHOS (v),"Freshly friend nachos topped with melted cheese, salsa, sour cream and guacamole",WHY NOT ADD PULLED BEEF CHILLI,,,
,,,BAKED CAMEMBERT,"With toasted sourdough bread, celery sticks and balsamic oinion chutney",,,,
Flatbreads,,,,,,,,
,,Served on freshly made flatbread with tabbouleh and seasonal salad.,,,,,,
,,,"BEETROOT, RED PEPPER AND QUINOA (v)",,,,,
,,,TANDOORI CHICKEN AND SPICED KETCHUP,,,,,
,,,SWEET CHILLI BEEF,,,,,
,,,DUCK AND HOISIN SAUCE,,,,Y,
,,,PULLED PORK AND BOURBON BBQ SAUCE,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
