Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYes,AdditionalClass
Supper Club,,,,,,,,
,,Get two courses for <strong>£10.45</strong> or three courses for <strong>£13.45</strong>. Choose from the dishes below. Served Monday - Friday from 6pm,,,,,,
,Starters,,,,,,,
,,,PRAWN COCKTAIL,,,,,
,,,SOUP OF THE DAY (v),,,,,
,,,BRUSCHETTA (v),,,,,
,,,"SOUTHERN-FRIED CHICKEN FILLETS
",,,,,
,Mains,,,,,,,
,,,"TOMATO AND MOZZARELLA SAUSAGES AND MASH (v)
",,,,,
,,,BANGERS & MASH,,,,,
,,,HUNTER’S CHICKEN,,,,,
,,,SCAMPI AND CHIPS,,,,,
,,,Baked Beef Lasagne,,,,,
,,,SAUSAGE BEAN POT,,,,,
,,,SOYA RAGU (ve),,,,,
,Desserts,,,,,,,
,,,BAKEWELL TART (v) (ve) (gf),,,,,
,,,ULTIMATE BROWNIE FUDGE CAKE,,,,,
,,,"WINTER BERRY
MESS SUNDAE (v)",,,,,
,,,HOMEMADE CRUMBLE (v),,,,,
,,,,,,,,
,,,,,,,,
