Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYN,AdditionalClass
Main Menu,,,,,,,,
,,,"MEXICAN BEEF CHILLI
","Pulled beef chilli served with rice in a tortilla basket and a side of nachos, salsa, 6 sour cream and guacamole",,£8.75,,
,,,CHICKEN CAESAR SALAD CLUB,"Freshly ripped Cos lettuce with a drizzle of Caesar dressing. Topped with anchovy fillets, grilled chicken breast, crispy bacon and torn sourdough croutons",,£7.95,,sixclub
,,,"HALF ROAST CHICKEN
","Roast British chicken served with roast potatoes, green beans, braised red cabbage and a jug of gravy",,£8.95,,
,,,HUNTER’S CHICKEN,"With bacon, BBQ sauce, melted Cheddar and mozzarella. Served with chunky chips and salad",,£7.75,,
,,,BACON CHOPS & FRIED FREE-RANGE EGG,"Served with chunky chips, grilled tomato, beer-battered onion rings and garden peas",,£8.95,,sixclub
,,,ABERDEEN ANGUS LASAGNE,"Slow-cooked in red wine and tomato sauce, served with warm garlic sourdough bread",,£7.75,,
,,,CHICKEN TIKKA PLATTER,"Masala spiced curry with rice, poppadum, chutney, onion bhajis and naan bread",,£8.95,,
,,,BANGERS & MASH,,Why not choose tomato & mozzarella sausages as a vegetarian option (v),£8.95,,sixclub
,,,GARDEN RISOTTO (V),"With broad beans, asparagus and roast garlic. Served with garlic sourdough bread",,£7.75,,
,,,SCAMPI AND CHIPS CLUB,"Whitby wholetail scampi served with chunky chips, garden or mushy peas and tartare sauce",,£7.25,,
,,,FISH AND CHIP CLUB,"Beer-battered line caught cod served with chunky chips, a charred lemon wedge and garden or mushy peas",,£8.95,,
,,"The 6 Club - A selection of great dishes for the smaller appetite for just £6. Available Monday-Friday until 6pm
",,,,,,sixclub
,Pies,"Succulent slow-cooked fillings in hand-crafted all butter shortcrust pastry, topped with a flaky puff pastry lid. Served with chunky chips, garden peas and gravy",,,,,,
,,,"STEAK & ALE PIE
",British steak and caramelised onions in rich ale gravy,,£9.25,,
,,,CHICKEN & HAM PIE,British chicken and ham hock in a creamy leek sauce,,£9.25,,
,From the Grill,"All served with chunky chips, grilled beef tomato, mushroom, beer-battered onion rings and garden peas",,,,,,
,,,8oz RUMP STEAK,,,£9.95,,
,,,8oz SIRLOIN STEAK,,,£12.45,,
,,,MIXED GRILL,"Rump steak, bacon chop, chicken breast, pork sausage, black pudding and fried free-range egg ",,£13.95,,
,,,,,"Fancy a sauce:
PEPPERCORN, BÉARNAISE, STILTON OR WHOLEGRAIN MUSTARD £1.95",,,
,,,,,Why not add: SAUTÉED GARLIC MUSHROOM AND ONIONS or SAUTÉED ATLANTIC PRAWNS £1.95,,,
,Burger Bar,"Succulent burgers served in a toasted bun, with lettuce, red onion and tomato served with chunky chips.",,,,,,
,,,Classic,6oz beef burger and BBQ sauce,,£7.45,,
,,,BLACK & BLUE,"6oz beef burger, field mushroom and Stilton",,£9.45,,
,,,PIRI PIRI CHICKEN BREAST,With piri piri mayo,,£8.45,,
,,,FALAFEL BURGER (v),With garlic mayo,,£7.75,,
,,,CHEESE & BACON BBQ,"6oz beef burger, bacon, Cheddar, Mozzarella, beer-battered onion rings and BBQ sauce",,£9.45,,
,,,THE BIG ONE,"Two 6oz beef burgers, bacon, fried free-range egg, beer-battered onion rings and BBQ sauce",,£10.95,,
,,,"Build your own burger, add:","CHEDDAR, STILTON, FREE-RANGE EGG, BBQ SAUCE, PIRI PIRI SAUCE OR BACON",,75p each topping,Y,
,Kebabs,"Served on freshly made atbread with tabbouleh, seasonal salad, smoked houmous and tzatziki with a chilli, lime and coriander drizzle",,,,,,
,,,,,,,,
,,,SPINACH AND FALAFEL (v),,,8.25,,
,,,TANDOORI CHICKEN,,,£8.75,,
,,,LAMB KOFTA,,,£8.75,,
,Something a bit different,A selection of dishes to excite your palate,,,,,,
,,,LENTIL AND CHICK PEA DAHL (V) (VE),"A lightly spiced red lentil dahl curry with chickpeas, cauli ower and butternut squash served with rice and warm tortilla wraps",,£7.95,,
,,,"BAKED COD WITH TOMATO SALSA
","Freshly baked line caught cod llet on a bed of new potatoes, green beans and dried cherry tomatoes served with a tomato salsa and a garlic butter drizzle",,£9.45,,
,,,ROAST CHICKEN WITH AN ADDED TWIST,"Served with house slaw, corn and sweet potato fries with your choice of: 
SRIRACHA
GARLIC BUTTER
CAJUN",,£9.95,,
,Sides,Why not add some extras,,,,,,
,,,CHUNKY CHIPS (v),,,£1.95,,
,,,BEER-BATTERED ONION RINGS (v),,,£2.95,,
,,,"SWEET POTATO FRIES (v)
",,,£2.95,,
,,,HOUSE SLAW (v),,,£1.95,,
,,,GARLIC DOUGHSTICKS (v),,,£2.95,,
,,,BREAD & BUTTER (v),,,£0.95,,
,Light Bites,"Your choice of farmhouse, sourdough or flatbread. Served with chips. Available until 6pm",,,,,,
,,,CHICKEN & BACON SANDWICH,With tartare sauce,,£5.95,,
,,,STEAK & MUSHROOM SANDWICH,"With a pot of fiery English mustard
",,£7.46,,
,,,"MATURE CHEDDAR, MOZZARELLA & CHERRY TOMATO MELT (v)
",,,£4.95,,
,,,"CAMEMBERT, BACON & CRANBERRY MELT
",,,£4.95,,
,"Topped Pots
",Crushed new potatoes served with their own topping - Choose from:,,,,,,
,,,CAESAR,"Caesar sauce, rocket, anchovies and grated parmesan
",,£4.45,,
,,,BEEF CHILLI,"Pulled beef chilli, rocket, nachos and salsa topping",,£4.75,,
,,,TOMATO SALSA,"Tomato salsa, rocket, dried cherry tomatoes
",Why not add Chicken £1.50,£3.95,,
