Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYes,AdditionalClass
Main Menu,,,,,,,,
,MAINS,"EVERYDAY OUR CHEFS CREATE SPECIALS FOR YOU TO ENJOY, FOR DETAILS ON TODAY'S SPECIALS PLEASE CALL US",,,,,,
,,,HUNTERS CHICKEN,"Chicken breast topped with bacon, melted Cheddar, mozzarella and BBQ sauce. Served with chunky chips and salad",,,,
,,,BAKED BEEF LASAGNE,"Minced beef slow cooked in a red wine and tomato sauce, topped with mature Cheddar cheese and a pesto drizzle.Served with salad and garlic ciabatta",,,,
,,,CAMBODIAN STREET FOOD CURRY (VE),"Thai style curry with lemongrass, kaffir lime and coconut. Served with cauliflower and parsley rice and a tomato, rocket and onion salad",Add prawns £3. Add chicken £2,,Y,
,,,STEAK AND ALE PIE,"Steak in a rich ale gravy served with chunky chips, garden peas and gravy",,,,
,,,COD AND CHIPS,"Hand battered line caught cod served with chunky chips, a charred lemon wedge, garden or mushy peas and tartare sauce",,,,
,,,SEASONAL SALAD,"A fresh and crunchy seasonal salad base with a Mediterranean tabbouleh. Topped with your choice of prawns, chicken or garlic chicken",,,,
,,,BACON CHOPS AND FREE-RANGE FRIED EGG,"Served with chunky chips, grilled tomato, beer battered onion rings and garden peas",,,,
,,,8oz SIRLOIN STEAK,"Seasoned and grilled sirloin steak with chunky chips, a grilled tomato, beer battered onion rings and garden peas",Add peppercorn or bearnaise sauce for £1.95 extra,,,
,,,SOUTHERN FRIED CHICKEN BURGER,"Hand coated chicken breast in a southern fried crumb, with a cajun drizzle. Served in a toasted bun with lettuce, red onion and tomato. Served with chunky chips and coleslaw","Add a topping to your burger for £1. Choose from: cheddar, stilton, bacon, free-range egg and onion rings. Add a beef patty or chicken fillet for an extra £2.",,,
,,,CHEESE AND BACON BBQ BURGER,"Our mouth watering 6oz beef burger with bacon, Cheddar, mozzarella and BBQ sauce, in a toasted bun with lettuce, red onion and tomato. Served with chunky chips and coleslaw","Add a topping to your burger for £1. Choose from cheddar, stilton, bacon, free-range egg and onion rings. Add a beef patty or chicken fillet for an extra £2.",,,
,FLATBREADS,Middle Eastern inspired flat bread with tabbouleh and seasonal salad,,,,,,
,,,TANDOORI CHICKEN AND SPICED KETCHUP,,,,,
,,,"BEETROOT, CARROT, HORSERADISH AND SUNFLOWER SEED MIX (V)",,,,,
,SIDES,,,,,,,
,,,BEER BATTERED ONION RINGS (V),,,,,
,,,SEASONAL SALAD (V),,,,,
,,,CHUNKY CHIPS (V),,,,,
,,,SWEET POTATO FRIES (V),,,,,
,,,COLESLAW (V),,,,,
,,,GARLIC FLATBREAD (V),,,,,
,,,SOUTHERN FRIED ONIONS (V),,,,,
Lunch Menu,,,,,,,,
,6 CLUB,Choose from 6 smaller portion classic dishes for £6 each,,,,,,
,,,HUNTERS CHICKEN,"Chicken breast topped with bacon, melted Cheddar, mozzarella and BBQ sauce. Served with chunky chips and salad",,,,
,,Served daily until 6pm,BAKED BEEF LASAGNE,"Minced beef slow cooked in a red wine and tomato sauce, topped with mature Cheddar cheese and a pesto drizzle.Served with salad and garlic ciabatta",,,,
,,,GARLIC CHICKEN SALAD,A fresh and crunchy seasonal salad base with a Mediterranean tabbouleh topped with crispy garlic chicken,,,,
,,,SCAMPI AND CHIPS,"Whitby™ wholetail scampi served with chunky chips, a charred lemon wedge, garden or mushy peas and tartare sauce",,,,
,,,BACON CHOPS AND FREE-RANGE FRIED EGG,"Served with chunky chips, grilled tomato, beer battered onion rings and garden peas",,,,
,,,BEETROOT AND HORSERADISH FLATBREAD (V),"Freshly made flatbread topped with tabbouleh, seasonal salad and a beetroot, carrot, horseradish and sunflower seed mix",,,,
,SANDWICHES,"Your choice of farmhouse, ciabatta or wrap, served with chips",,,,,,
,,,CHICKEN AND BACON,"With mayonnaise, lettuce and tomato",,£6.75,,
,,,HAND BATTERED COD FISH FINGERS,With tartare sauce,,£6.75,,
,,,"MATURE CHEDDAR, MOZZARELLA AND CHERRY TOMATO MELT (V)",,,£5.75,,
,,,PRAWN AND CAJUN SEAFOOD SAUCE,,,£6.95,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
