Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYes,AdditionalClass
Main Menu,,,,,,,,
,OUR FAVOURITES,,,,,,,
,,,HUNTERS CHICKEN,"Chicken breast topped with bacon, melted Cheddar, mozzarella and BBQ sauce. Served with chunky chips and salad",,£8.95,,
,,,BAKED BEEF LASAGNE,"Minced beef slow cooked in a red wine and tomato sauce, topped with mature Cheddar cheese and a pesto drizzle.Served with salad and garlic ciabatta",,£8.75,,
,,,STEAK AND ALE PIE,"Steak in a rich ale gravy served with chunky chips, garden peas and gravy",,£9.75,,
,,,COD AND CHIPS,"Hand battered line caught cod served with chunky chips, a charred lemon wedge, garden or mushy peas and tartare sauce",,£9.95,,
,,,SEASONAL SALAD,"A fresh and crunchy seasonal salad base with a Mediterranean tabbouleh. Topped with your choice of prawns, chicken or garlic chicken",,"Prawns £10.25
Chicken £9.25
Garlic Chicken £9.45",Y,spanthegrid
,,,BANGERS AND MASH,"Butcher's pork sausages with spring onion mash, garden peas and gravy",,£7.95,,
,,,CHICKEN TIKKA,"Masala spiced chicken in a rich tomato and chilli sauce. Served with rice, poppadom and chutney",,£9.25,,
,,,CHICKEN AND HAM PIE,"Chicken and ham hock in a creamy leek sauce served with chunky chips, garden peas and gravy",,£9.75,,
,,,GARLIC CHICKEN,"Tender chicken breast coated in a garlic and herb crust, topped with melted smoky garlic butter. Served with new potatoes and salad.",,£9.75,,
,THE GRILL,,,,,,,
,,,BACON CHOPS AND FREE-RANGE FRIED EGG,"Served with chunky chips, grilled tomato, beer battered onion rings and garden peas",,£9.25,,
,,,8oz SIRLOIN STEAK,"Seasoned and grilled sirloin steak with chunky chips, a grilled tomato, beer battered onion rings and garden peas","Add peppercorn, bearnaise, stilton or wholegrain mustard sauce to your steak for £2.25 extra",£13.45,,
,,,8oz RUMP STEAK,"Seasoned and grilled rump steak with chunky chips, a grilled tomato, beer battered onion rings and garden peas","Top your steak:
Sauteed garlic mushrooms and onions £2.25
Sauteed atlantic prawns £2.95
Smoked salted and garlic butter £1.50",£10.65,,
,,,MIXED GRILL,"8oz rump steak, bacon chop, chicken breast, pork sausage, black pudding and free-range fried egg",,£14.45,,
,BURGER BAR,"Succulent burgers served in a toasted ciabatta bun, with lettuce, red onion and tomato served with chunky chips",,,,,,
,,,SOUTHERN FRIED CHICKEN BURGER,"Hand coated chicken breast in a southern fried crumb, with a cajun drizzle. Served in a toasted bun with lettuce, red onion and tomato. Served with chunky chips and coleslaw","Add a topping to your burger for £1. Choose from cheddar, stilton, bacon, free-range egg and onion rings. Add a beef patty or chicken fillet for an extra £2.",£10.25,,
,,,CHEESE AND BACON BBQ BURGER,"Our mouth watering 6oz beef burger with bacon, Cheddar, mozzarella and BBQ sauce, in a toasted bun with lettuce, red onion and tomato. Served with chunky chips and coleslaw","Add a topping to your burger for £1. Choose from cheddar, stilton, bacon, free-range egg and onion rings. Add a beef patty or chicken fillet for an extra £2.",£9.95,,
