Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYes,AdditionalClass
Our Wine List,,,,,,,,
,,,,,,,,
,Red Wines,,,,,,,
,,,"HARDYS 202 MAIN ROAD SHIRAZ
","<em>Australia</em><br />
Ripe blackberry flavours and soft tannins, bold fruit-driven<br />
",,,,
,,,JACK RABBIT MERLOT,"<em>Chile</em><br />
A smooth and fruity merlot filled with berry flavours<br />
",,,,
,,,"THREE PILLARS CABERNET SAUVIGNON
","<em>Australia</em><br />
Blackcurrant, blackberry and cherry with a hint of vanilla oak<br />
",,,,
,,,"EL CIPRES MALBEC
","<em>Argentina</em><br />
Dark fruit aromas and flavours with a hint of spice<br />
",,,,
,,,WAIPARA HILLS PINOT NOIR,"<em>New Zealand</em><br />
Aromas of brambly fruits, dark cherry, five spice and a hint of smoke<br />
",,,,
,,,,,,,,
,"White Wines
",,,,,,,
,,,"HARDYS 202 MAIN ROAD CHARDONNAY
","<em>Australia</em><br />
Lively and rounded with pleasant baked citrus character<br />
",,,,
,,,"JACK RABBIT SAUVIGNON BLANC
","<em>Chile</em><br />
Fresh and crisp with delicious fruit flavours of lime and peach<br />
",,,,
,,,VALLADE PINOT GRIGIO,"<em>Italy</em><br />
Crisp and fresh with lemon aromas and a refreshing after taste<br />
",,,,
,,,FRANSCHHOEK CHENIN BLANC,"<em>South Africa</em><br />
Tropical mango, peach and honey blossom with a smooth texture<br />
",,,,
,,,"WAIPARA HILLS SAUVIGNON BLANC
","<em>New Zealand</em><br />
Aromas of melon and nettle, with the fruit carrying through to an aromatic finish<br />
",,,,
,,,,,,,,
,Rosé Wines,,,,,,,
,,,JACK RABBIT WHITE ZINFANDEL,"<em>California</em><br />
A light and refreshing rosé with strawberry flavours<br />
",,,,
,,,CANALETTO PINOT GRIGIO ROSÉ,"<em>Italy</em><br />
Citrus fruit overtones and plenty of refreshing berry flavours<br />
",,,,
,,,,,,,,
,"Sparkling, Prosecco & Champagne",,,,,,,
,,,LUNETTA PROSECCO SPUMANTE ROSÉ,"<em>Italy</em><br />
Dry with red berry characters, soft and approachable<br />
",,,,
,,,CANALETTO PROSECCO,"<em>Italy</em><br />
Apple, lemon and grapefruit characters with wisteria and acacia aromas<br />
",,,,
,,,JULIET ROSÉ SPUMANTE,"<em>Italy</em><br />
Sparkling elegant citrus with wild strawberry and redcurrant flavours<br />
",,,,
,,,"CHAMPAGNE LAURENT PERRIER BRUT NV
","<em>France</em><br />
White peach and honeysuckle with rich grapefruit citrus notes<br />
",,,,
